,Date,Transaction Type,Num,Customer,Memo/Description,Qty,Sales Price,Amount,Balance
FireWrap Grip Kit - Light Blue,,,,,,,,,
FireWrap Grip Kit - Light Blue,03/23/2018,Sales Receipt,#1394,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,24.95  
FireWrap Grip Kit - Light Blue,04/26/2018,Sales Receipt,#1477,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,49.90  
FireWrap Grip Kit - Light Blue,04/27/2018,Sales Receipt,#1511,,FireWrap  Grip Kit - Pre-Order,1,24.95  ,24.95  ,74.85  
FireWrap Grip Kit - Light Blue,05/14/2018,Sales Receipt,#1617,,FireWrap  Grip Kit,1,34.95  ,34.95  ,109.80  
FireWrap Grip Kit - Light Blue,06/22/2018,Invoice,1133,,,4,26.00  ,104.00  ,213.80  
FireWrap Grip Kit - Light Blue,10/09/2018,Sales Receipt,#1895,,FireWrap  Grip Kit,1,34.95  ,34.95  ,248.75  
FireWrap Grip Kit - Light Blue,11/30/2018,Sales Receipt,#2045,,FireWrap  Grip Kit,1,34.95  ,34.95  ,283.70  
FireWrap Grip Kit - Light Blue,12/30/2018,Sales Receipt,#2149,,FireWrap  Grip Kit,1,34.95  ,34.95  ,318.65  
FireWrap Grip Kit - Light Blue,01/23/2019,Invoice,1257,,,1,30.00  ,30.00  ,348.65  
FireWrap Grip Kit - Light Blue,02/20/2019,Sales Receipt,#2317,,FireWrap  Grip Kit,1,34.95  ,34.95  ,383.60  
FireWrap Grip Kit - Light Blue,03/05/2019,Invoice,1266,,"P.O. Number: 19-0213-5 
Jason Oliva
2040 N 51st St
Milwaukee, WI 53208",1,30.00  ,30.00  ,413.60  
FireWrap Grip Kit - Light Blue,03/14/2019,Invoice,1300,,,1,30.00  ,30.00  ,443.60  
FireWrap Grip Kit - Light Blue,04/01/2019,Sales Receipt,#2473,,FireWrap Grip Kit,2,34.95  ,69.90  ,513.50  
FireWrap Grip Kit - Light Blue,04/02/2019,Sales Receipt,#2473,,FireWrap Grip Kit,2,34.95  ,69.90  ,583.40  
FireWrap Grip Kit - Light Blue,11/05/2019,Invoice,M-110519-005,,FireWrap Grip Kit - Light Blue,2,26.00  ,52.00  ,635.40  
Total for FireWrap Grip Kit - Light Blue,,,,,,21,,$	635.40  ,
FireWrap Grip Kit - Pink,,,,,,,,,
FireWrap Grip Kit - Pink,05/12/2018,Invoice,1115,,,1,26.00  ,26.00  ,26.00  
FireWrap Grip Kit - Pink,06/22/2018,Invoice,1133,,,4,26.00  ,104.00  ,130.00  
FireWrap Grip Kit - Pink,07/23/2018,Sales Receipt,#1736,,FireWrap  Grip Kit,1,34.95  ,34.95  ,164.95  
